Company / Outreach Account	Brands / Business Units	In Italy?	Locations	Master-fit Themes	Matching Job Titles	Job Links	Role Count	Curricular Evidence	Work Modes	Sources / Portals	Previously Contacted?	Contact Search Status	Contact Name	Contact Role	Contact Email / LinkedIn	Outreach Decision	Notes	Verification Status	Last Checked	First Contact Date	Recall
Bain & Company		Mixed	Milan, Lombardy, Italy; Madrid, Community of Madrid, Spain	Service Design / CX; Business / Innovation Strategy; Product / UX	1. Digital Product Design Intern (Milan) | 2. Digital Product Design Intern (Madrid)	1. https://careers.bain.com/jobs/FolderDetail/Intern-Design-Milan-Rome-main-folder/109254 alt. https://it.linkedin.com/jobs/view/4461071537 | 2. https://it.linkedin.com/jobs/view/4461079438	2	To verify	onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [pertinente] Match score: 95/100; Full strategic-design process: research, journeys and personas, ideation workshops, prototyping and new service concepts. 2. [pertinente] Match score: 95/100; Design intern on the full strategic design process: ethnography, journey maps, ideation workshops, prototyping.	Employer verified active; posting confirmed live on the employer's own careers site	2026-09-17		
Deloitte		No	La Défense, Île-de-France, France	Service Design / CX; Product / UX; Business / Innovation Strategy; Consulting / Operations; Transformation / Change	1. Deloitte Digital - Stage Consultant CX / Service Design - F/H | 2. Deloitte Digital - Stage Product Designer F/H | 3. Stage de fin d’études Strategy & Business Design (FSI / Payments) F/H | 4. Deloitte Capital Humain - Stage Conseil en organisation, conduite du changement, stratégie sociale et digital RH F/H | 5. Stagiaire de fin d’études – Junior Innovation & Emerging Tech Officer F/H | 6. Stage Consultant IA & Business Transformation F/H	1. https://it.linkedin.com/jobs/view/4443869643 | 2. https://it.linkedin.com/jobs/view/4441705837 | 3. https://it.linkedin.com/jobs/view/4320094634 | 4. https://it.linkedin.com/jobs/view/4464528932 | 5. https://it.linkedin.com/jobs/view/4391219762 | 6. https://it.linkedin.com/jobs/view/4432860801	6	curricular	onsite	LinkedIn Jobs	No	No suitable contact				Review	[UPDATE EXISTING ROW] 6 new role(s). 1. [pertinente] Match score: 92/100; Stage de fin d'études on client experience projects doing user research, omni-channel journey design and CX deliverables. 2. [pertinente] Match score: 92/100; Product Design stage de fin d'études: user research, co-design workshops, journey prototyping and specs. 3. [pertinente] Match score: 85/100; Strategy & Business Design stage on hypotheses, market analysis, business cases and recommendations for payments/FSI. 4. [pertinente] Match score: 78/100; Change-management consulting stage: organisational diagnostics, transformation trajectories, workshops and adoption. 5. [pertinente] Match score: 70/100; Innovation officer stage structuring new AI/innovation offers and running POCs, plus PMO-style tracking and acculturation. 6. [adiacente] Match score: 65/100; Business-need analysis and AI use-case design for customer experience, but the stage centres on designing/configuring Salesforce solutions. NOTE: the Milan Deloitte posting found by this run is closed; the roles below are Deloitte France. Canonical history holds a German Deloitte entity, so the outreach account needs a human decision (index/company-aliases.csv).	Portal verified; To verify — employer entity and account	2026-09-17		
BIP		Yes	Milan, Lombardy, Italy	Service Design / CX; Business / Innovation Strategy; Transformation / Change; Consulting / Operations	1. Junior Project Manager – Innovation & Collaboration - Stage | 2. Internship - Junior Consultant Life Sciences	1. https://fa-etjb-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2253/ alt. https://it.linkedin.com/jobs/view/4468225919 | 2. https://it.linkedin.com/jobs/view/4467715179	2	To verify	hybrid	LinkedIn Jobs	Yes	Contacted				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [pertinente] Match score: 90/100; Explicit service-design practice: co-design workshops, qualitative research, journey maps and blueprints to redesign services. 2. [adiacente] Match score: 55/100; Strategy consulting for pharma with evidence gathering and analysis, but no stated design or CX responsibilities.	Employer verified active; posting confirmed live on the employer's own careers site	2026-09-17		
Amplifon		Yes	Milan, Lombardy, Italy	CRM / Customer Intelligence; Service Design / CX; Business / Innovation Strategy	1. Global CRM & Customer Intelligence Internship | 2. Global Market Insights Internship | 3. Italy Business Planning Internship	1. https://careers.amplifon.com/en/sites/CX_1/job/20457/ alt. https://it.linkedin.com/jobs/view/4467208467 | 2. https://careers.amplifon.com/en/sites/CX_1/job/21152/ alt. https://it.linkedin.com/jobs/view/4465810283 | 3. https://it.linkedin.com/jobs/view/4466090725	3	curricular	hybrid	LinkedIn Jobs	No	Contacted				Review	[UPDATE EXISTING ROW] 3 new role(s). 1. [pertinente] Match score: 88/100; Customer behaviour analysis, segmentation and profiling with recommendations on CRM campaigns. 2. [pertinente] Match score: 78/100; Designs and runs qualitative/quantitative research, then turns results into customer and market insight. 3. [adiacente] Match score: 52/100; Sales-forecast and commercial-planning analytics with customer-type deep dives; controlling rather than strategy design.	Employer verified active; posting confirmed live on the employer's own careers site	2026-09-17		
JAKALA		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; CRM / Customer Intelligence	1. Intern / Business Analyst (Maize) | 2. Intern / Business Operations & Revenue Management | 3. Intern / Client Strategy Telco, Media & Energy	1. https://it.linkedin.com/jobs/view/4465204040 | 2. https://it.linkedin.com/jobs/view/4459955678 | 3. https://it.linkedin.com/jobs/view/4459508825	3	To verify	hybrid	LinkedIn Jobs	To verify	Not started				Review	[UPDATE EXISTING ROW] 3 new role(s). 1. [pertinente] Match score: 85/100; Stage nello studio di innovation design Maize: analisi di mercato, scouting, nuovi modelli di business e go-to-market. 2. [adiacente] Match score: 55/100; Business e data analysis interna con business case e forecasting: supporto analitico all'area 2, senza progettazione di servizi. 3. [adiacente] Match score: 50/100; Data analytics e AI al servizio della strategia clienti, ma le attività descritte restano generiche e non dettagliano il metodo di design.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
KPMG Italy		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Transformation / Change; Service Design / CX; Consulting / Operations	1. Junior Consultant / Financial Services | 2. Junior Consultant / Business Transformation | 3. Junior Healthcare Consultant / Milano | 4. Junior Consultant - Public Sector - Sanità Milano | 5. IT Business Analyst SAP - Consumer and Industrial Market (Intern) | 6. IT Business Analyst SAP - Financial Services (Intern) | 7. Junior Intelligent Automation - Digital Transformation Intern	1. https://it.linkedin.com/jobs/view/4443776221 | 2. https://it.linkedin.com/jobs/view/4443138920 | 3. https://it.linkedin.com/jobs/view/4449114418 | 4. https://it.linkedin.com/jobs/view/4464523853 | 5. https://it.linkedin.com/jobs/view/4439410570 | 6. https://it.linkedin.com/jobs/view/4392873977 | 7. https://it.linkedin.com/jobs/view/4436214170	7	curricular or extracurricular	hybrid	LinkedIn Jobs	To verify	Not started				Review	[HISTORY TO VERIFY] 7 new role(s). 1. [pertinente] Match score: 85/100; Strategia, business plan, studi di fattibilità e analisi di mercato/benchmarking nel financial services. 2. [pertinente] Match score: 82/100; Ridisegno di modelli operativi e processi con change management e valutazione degli impatti: area Transformation piena. 3. [pertinente] Match score: 78/100; Strategie per il SSN con progettazione dell'esperienza utente/paziente e ripensamento di servizi e modelli operativi. 4. [pertinente] Match score: 72/100; Stage di consulenza su processi e organizzazioni sanitarie con studi di fattibilità e modelli di governance. 5. [adiacente] Match score: 55/100; Raccolta requisiti e disegno di soluzioni, ma l'oggetto è l'implementazione SAP, quindi sistema informativo più che servizio. 6. [adiacente] Match score: 55/100; Stessa natura del gemello Consumer & Industrial: analisi requisiti e disegno soluzione su piattaforma SAP. 7. [adiacente] Match score: 50/100; Studio di fattibilità e flussi operativi presenti, ma il ruolo è sviluppo su piattaforme di automazione (RPA/low-code).	Employer verified active; posting confirmed live on the employer's own careers site	2026-09-17		
MANGO		No	Palau-solità i Plegamans, Catalonia, Spain	CRM / Customer Intelligence; Product / UX; Service Design / CX; Transformation / Change; Consulting / Operations	1. QUANTITATIVE RESEARCHER INTERN | 2. TRANSFORMATION OFFICE INTERN	1. https://it.linkedin.com/jobs/view/4425990946 | 2. https://it.linkedin.com/jobs/view/4444402972	2	curricular	hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [pertinente] Match score: 84/100; CX-team quantitative researcher internship: consumer research design, data-to-insight analysis and concrete proposals. 2. [adiacente] Match score: 58/100; Transformation-office support: monitoring initiatives, executive decks and KPI analysis rather than designing change.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Danone		No	Paris, Île-de-France, France; Barcelona, Catalonia, Spain; Zoetermeer, South Holland, Netherlands	Business / Innovation Strategy; Transformation / Change; Consulting / Operations	1. STAGE - Global Strategy – Janvier 2027 ou Mars 2027 (H/F) | 2. Internship – EDP Strategy – January 2027 - M/W | 3. BtheOne - Organization and Transformation Intern | 4. HR Organizational Development Intern | 5. Operations Project Management Intern	1. https://it.linkedin.com/jobs/view/4459856963 | 2. https://it.linkedin.com/jobs/view/4464362609 | 3. https://it.linkedin.com/jobs/view/4425998792 | 4. https://it.linkedin.com/jobs/view/4426305769 | 5. https://it.linkedin.com/jobs/view/4461240592	5	curricular	hybrid | onsite	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] 5 new role(s). 1. [pertinente] Match score: 82/100; Group strategy stage on three-year plan, market/competitor analysis and prioritisation of growth opportunities. 2. [pertinente] Match score: 78/100; Strategy internship building the three-year category plan and competitive intelligence for EDP. 3. [pertinente] Match score: 64/100; Organisation & development internship centred on change management and landing a new organisational design. 4. [pertinente] Match score: 64/100; HR organisation & development internship centred on change management and organisational design landing. 5. [adiacente] Match score: 60/100; Process diagnosis and change/training for AI adoption, but the bulk is data preparation and supporting AI tool roll-out.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
EssilorLuxottica		Yes	Milan, Lombardy, Italy	Transformation / Change; Consulting / Operations; Business / Innovation Strategy	1. Organizational Development Internship | 2. Business Analyst Internship	1. https://it.linkedin.com/jobs/view/4460605305 | 2. https://it.linkedin.com/jobs/view/4455417772	2	To verify	To verify	LinkedIn Jobs	No	No suitable contact				Review	[UPDATE EXISTING ROW] 2 new role(s). 1. [pertinente] Match score: 82/100; As-is/to-be, proposta di nuove strutture e processi e tracking dell'implementazione. 2. [pertinente] Match score: 68/100; Analisi di business e identificazione di opportunità sui canali distributivi.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
Gruppo Excellence		Yes	Milan, Lombardy, Italy	Business / Innovation Strategy	1. Analyst FSI - Stage	1. https://it.linkedin.com/jobs/view/4459969401	1	To verify	To verify	LinkedIn Jobs	To verify	Not started				Review	[NEW COMPANY] 1 new role(s). 1. [pertinente] Match score: 82/100; Stage in consulenza direzionale FSI con analisi di mercato, business case e action plan, nucleo dell'area Business/Innovation Strategy.	Portal verified; To verify — curricular status, work mode and employer page	2026-09-17		
