Company / Outreach Account	Brands / Business Units	In Italy?	Locations	Master-fit Themes	Matching Job Titles	Job Links	Role Count	Curricular Evidence	Work Modes	Sources / Portals	Previously Contacted?	Contact Search Status	Contact Name	Contact Role	Contact Email / LinkedIn	Outreach Decision	Notes	Verification Status	Last Checked	First Contact Date	Recall
Valuement	Valuement (gruppo Mantu)	Yes	Milan, Italy	Business / Innovation Strategy; Consulting / Operations	1. Strategy Consultant Intern — Milan, Italy	1. https://it.linkedin.com/jobs/view/strategy-consultant-intern-at-valuement-4464005561	1	To verify — curricular status	Hybrid (Assago)	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [pertinente] Match score: 88/100; consulenza strategica retail/fashion, market analysis e project management; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
Altman Solon	Altman Solon	Yes	Milan, Italy	Business / Innovation Strategy; Consulting / Operations	1. Internship: Strategy Consulting TMT (m/f/d) — Milan, Italy	1. https://it.linkedin.com/jobs/view/internship-strategy-consulting-tmt-m-f-d-at-altman-solon-4462945647	1	To verify — curricular status	Not stated (ufficio centrale)	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [pertinente] Match score: 86/100; strategy consulting TMT, market trends e recommendations; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
Accenture	Accenture Italia · Accenture Song	Yes	Milan, Lombardy, Italy	Business / Innovation Strategy; Transformation / Change	1. Digital transformation intern — Milan, Italy	1. https://it.linkedin.com/jobs/view/digital-transformation-intern-at-accenture-italia-4462332174	1	To verify — curricular status	Hybrid (smart working ove compatibile)	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] [pertinente] Match score: 82/100; trasformazione digitale in Song, analisi dati e supporto decisionale; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
Volkswagen Financial Services	Volkswagen Financial Services Italia	Yes	Milan, Italy	Business / Innovation Strategy; Consulting / Operations	1. Fleet Business Performance & Strategy Specialist Jr - STAGE — Milan, Italy	1. https://it.linkedin.com/jobs/view/fleet-business-performance-strategy-specialist-jr-stage-at-volkswagen-financial-services-italy-4458960216	1	To verify — curricular status	Hybrid	LinkedIn Jobs	No	Not started				Review	[UPDATE EXISTING ROW] [pertinente] Match score: 81/100; business performance, strategy e 6 mesi stage retribuito €1000/mese; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
Gartner	Gartner	Yes	Milan, Italy	Business / Innovation Strategy; Consulting / Operations	1. Intern, Technology Strategy Consultant — Milan, Italy	1. https://it.linkedin.com/jobs/view/intern-technology-strategy-consultant-at-gartner-4458748084	1	To verify — curricular status	Not stated	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [pertinente] Match score: 80/100; technology strategy consulting, 6-month contract; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
PwC Italy	PwC Italy · Strategy&	Yes	Milan, Italy	Business / Innovation Strategy; Consulting / Operations	1. Strategy& | Corporate & Business Strategy Intern - Milan | 2. Advisory - Intern - Milano - Financial Services Strategy [ADV]	1. https://it.linkedin.com/jobs/view/strategy-corporate-business-strategy-intern-milan-at-pwc-italy-4439323390 | 2. https://it.linkedin.com/jobs/view/advisory-intern-milano-financial-services-strategy-adv-at-pwc-italy-4444757466	2	To verify — curricular status	Not stated	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [pertinente] Match score: 79/100; market trends, business performance e recommendations; due ruoli attivi; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
ProductLife Group	ProductLife Group	Yes	Milan, Italy	Transformation / Change; Consulting / Operations	1. Business Transformation Intern — Milan, Italy	1. https://it.linkedin.com/jobs/view/business-transformation-intern-at-productlife-group-4456315456	1	To verify — curricular status	Hybrid (2 giorni/settimana in sede)	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [pertinente] Match score: 78/100; transformation in pharma/biotech, AI e 6 mesi con possibile estensione; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
Finomnia	Finomnia	Yes	Cinisello Balsamo, Lombardy, Italy	Transformation / Change; Consulting / Operations	1. Stage Transformation Office — Cinisello Balsamo, Italy	1. https://it.linkedin.com/jobs/view/stage-transformation-office-at-finomnia-4459520893	1	To verify — curricular status	Hybrid	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [adiacente] Match score: 74/100; transformation office, €800/mese + buoni pasto; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
Foorban	Foorban	Yes	Rho, Milan, Italy	Service Design / CX	1. Customer Care - Intern — Rho, Italy	1. https://it.linkedin.com/jobs/view/customer-care-intern-at-foorban-4463292873	1	To verify — curricular status	On-site poi ibrido	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [adiacente] Match score: 70/100; customer care con start ottobre 2026; più operativo che strategico; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
NHOA Group	NHOA Group (NHOA Energy)	Yes	Milan, Italy	Sustainability	1. Sustainability & ESG Intern — Milan, Italy	1. https://it.linkedin.com/jobs/view/sustainability-esg-intern-at-nhoa-group-4453149217	1	To verify — curricular status	Hybrid	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [adiacente] Match score: 69/100; ESG frameworks e reporting; €1300/mese; employment type "Volontario" da chiarire; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
Sidel	Sidel	Yes	Parma, Emilia-Romagna, Italy	Transformation / Change	1. Corporate Internal Communications & Change Management Intern — Parma, Italy	1. https://it.linkedin.com/jobs/view/corporate-internal-communications-change-management-intern-at-sidel-4447354862	1	To verify — curricular status	Not stated	LinkedIn Jobs	No	Not started				Review	[NEW COMPANY] [adiacente] Match score: 68/100; change management e internal communications; ipotesi operativa (area A2 da confermare)	Portal verified; To verify — curricular status	2026-09-10
